eval_name,modality,model,n_qubits,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
"Eval 2 (windowed, N=233)",Clinical only (4 feat),Classical SVM,2,0.7167,0.026,0.7526,0.0458,0.727,0.0522,0.7052,0.0748,0.7373,0.027,0.7734,0.0281
"Eval 2 (windowed, N=233)",Clinical only (4 feat),QSVM (ZZFeatureMap),2,0.6866,0.0509,0.7273,0.109,0.7644,0.1527,0.604,0.2132,0.7223,0.0574,0.7611,0.0429
"Eval 2 (windowed, N=233)",MRI only (2 feat),Classical SVM,2,0.7767,0.0453,0.7544,0.0475,0.8815,0.046,0.6458,0.08,0.8122,0.0395,0.8434,0.0393
"Eval 2 (windowed, N=233)",MRI only (2 feat),QSVM (ZZFeatureMap),2,0.7809,0.0425,0.7918,0.0682,0.8287,0.0497,0.7223,0.104,0.8066,0.0315,0.8282,0.0275
"Eval 2 (windowed, N=233)",Speech only (18 feat),Classical SVM,2,0.6352,0.0143,0.6423,0.0246,0.7568,0.0726,0.4856,0.0604,0.693,0.0343,0.7112,0.037
"Eval 2 (windowed, N=233)",Speech only (18 feat),QSVM (ZZFeatureMap),2,0.5621,0.0621,0.5637,0.0464,0.8717,0.146,0.1785,0.1457,0.6806,0.07,0.581,0.0693
"Eval 2 (windowed, N=233)",Multimodal fused (24 feat),Classical SVM,6,0.8114,0.0301,0.8123,0.0363,0.8593,0.0516,0.7487,0.0805,0.8336,0.0225,0.9077,0.0228
"Eval 2 (windowed, N=233)",Multimodal fused (24 feat),QSVM (ZZFeatureMap),6,0.7814,0.0777,0.8069,0.0352,0.7944,0.1058,0.7687,0.0498,0.7988,0.0699,0.8453,0.0513
"Eval 1 (OASIS pool, N=385)",clinical,Classical SVM,2,0.6805,0.065,0.7021,0.1111,0.5364,0.0883,0.8084,0.0652,0.6052,0.0838,0.747,0.0717
"Eval 1 (OASIS pool, N=385)",clinical,QSVM (ZZFeatureMap),2,0.6779,0.0713,0.7361,0.1236,0.4727,0.1472,0.8667,0.0613,0.5629,0.1223,0.7416,0.0586
"Eval 1 (OASIS pool, N=385)",mri,Classical SVM,2,0.6156,0.0469,0.5903,0.0984,0.5919,0.1004,0.6481,0.0796,0.5825,0.0596,0.6884,0.0696
"Eval 1 (OASIS pool, N=385)",mri,QSVM (ZZFeatureMap),2,0.613,0.0571,0.5843,0.0935,0.5835,0.0854,0.6458,0.0673,0.5789,0.0659,0.6853,0.0599
"Eval 1 (OASIS pool, N=385)",clinical+mri,Classical SVM,4,0.7429,0.0867,0.778,0.1201,0.616,0.1342,0.8553,0.0783,0.6833,0.121,0.8388,0.0591
"Eval 1 (OASIS pool, N=385)",clinical+mri,QSVM (ZZFeatureMap),4,0.7195,0.0536,0.7266,0.1125,0.6316,0.1366,0.8047,0.0726,0.6653,0.098,0.8061,0.0607
